"","hgnc_symbol","entrez_id"
"1553301_a_at","TMEM182","130827"
"1553303_at","C16orf46","123775"
"1553304_at","LSM14B","149986"
"1553306_at","CASP8","841"
"1553311_at","C20orf197","284756"
"1553313_s_at","SLC5A3","6526"
"1553314_a_at","KIF19","124602"
"1553316_at","GPR82","27197"
"1553318_at","RIBC1","158787"
"1553319_at","OXGR1","27199"
"1553320_s_at","CDC14C","168448"
"1553321_a_at","SULT1C4","27233"
"1553322_s_at","TEAD1","7003"
"1553323_a_at","CATSPER2","117155"
"1553325_at","POU5F2","134187"
"1553326_at","RXFP2","122042"
"1553327_a_at","BEND7","222389"
"1553328_a_at","SLC18A2","6571"
"1553329_at","SSMEM1","136263"
"1553330_at","ADAT2","134637"
"1553333_at","MAB21L3","126868"
"1553335_x_at","LOC285696","285696"
"1553336_a_at","MIER3","166968"
"1553338_at","SDE2","163859"
"1553340_s_at","SLC35G3","146861"
"1553341_at","UROC1","131669"
"1553344_at","PCDH15","65217"
"1553346_a_at","TNRC6A","27327"
"1553347_s_at","KCNA6","3742"
"1553350_at","AMER3","205147"
"1553351_at","OTUD7A","161725"
"1553352_x_at","ERVW-1","30816"
"1553354_a_at","HPN-AS1","100128675"
"1553355_at","TMPRSS6","164656"
"1553357_at","LINC00889","158696"
"1553359_at","PCNT","5116"
"1553362_at","PDE6A","5145"
"1553363_at","ZNF585B","92285"
"1553364_at","PNPLA1","285848"
"1553365_at","PVR","5817"
"1553366_s_at","ANKRD23","200539"
"1553367_a_at","COX6B2","125965"
"1553369_at","FAM129C","199786"
"1553371_at","EPHA10","284656"
"1553373_at","WDR64","128025"
"1553375_at","BTBD9","114781"
"1553378_a_at","C17orf66","256957"
"1553380_at","PARP15","165631"
"1553385_at","LOC84931","84931"
"1553387_at","C10orf111","221060"
"1553388_at","FAM26D","221301"
"1553389_at","LOC100130899","100130899"
"1553390_at","CDKL3","51265"
"1553391_at","CXorf58","254158"
"1553392_at","EFCAB3","146779"
"1553394_a_at","TFAP2B","7021"
"1553396_a_at","CCDC13","152206"
"1553399_a_at","CRHR1-IT1","147081"
"1553401_at","MRGPRX1","259249"
"1553402_a_at","HFE","3077"
"1553403_at","RLN3","117579"
"1553405_a_at","CSMD1","64478"
"1553407_at","CTSB","1508"
"1553409_at","ADAMTS20","80070"
"1553411_s_at","SALL3","27164"
"1553413_at","LOC285629","285629"
"1553415_at","SLC17A8","246213"
"1553417_at","C11orf44","283171"
"1553422_s_at","RBFOX1","54715"
"1553423_a_at","SLFN13","146857"
"1553425_at","WDR65","149465"
"1553426_at","C5orf64","285668"
"1553427_at","ADAMTS15","170689"
"1553428_at","DDX3X","1654"
"1553430_a_at","EDARADD","128178"
"1553432_s_at","OTOA","146183"
"1553433_at","KCNQ1OT1","10984"
"1553436_at","MUC19","283463"
"1553437_at","KLHDC7A","127707"
"1553438_at","TNFSF15","9966"
"1553440_at","AQP4-AS1","147429"
"1553442_a_at","CNTNAP4","85445"
"1553443_at","FER1L6-AS1","439941"
"1553444_a_at","C1orf127","148345"
"1553446_at","LOC100996634","100996634"
"1553448_at","FLJ34503","285759"
"1553449_at","LINC00304","283860"
"1553451_at","CCDC79","283847"
"1553452_at","MYO1H","283446"
"1553453_at","ASB14","142686"
"1553454_at","RPTN","126638"
"1553457_at","LINC00269","100996279"
"1553458_at","VSTM4","196740"
"1553460_at","C2orf61","285051"
"1553462_at","TNFRSF10B","8795"
"1553464_at","FLJ40288","286023"
"1553465_a_at","CES5A","221223"
"1553466_at","CHDC2","286464"
"1553468_at","USP6NL","9712"
